chr	windowStart	windowEnd	D	f_d	f_dM	d_f
1	21030822	21828091	-0.675223	-7.460664	-0.860551	-0.526336
1	21276337	22400473	-0.673398	-10.769367	-0.712679	-0.514291
1	21864768	22841907	-0.657315	-13.547534	-0.724197	-0.490930
1	22404812	23352541	-0.641183	-8.301301	-0.861638	-0.483940
1	22841939	23754243	-0.639992	-6.387620	-0.842859	-0.487852
1	23352675	24415727	-0.617005	-4.990169	-0.794719	-0.471355
1	23826725	25106879	-0.347201	-0.933986	-0.381538	-0.278256
1	24458309	28807413	0.722020	0.847396	0.628243	0.670170
1	25114447	30046765	0.374105	0.853462	0.204305	0.372166
1	28807461	32060175	-0.611811	1.148409	-0.176883	-0.250975
1	30056455	32623397	-0.843199	1.211758	-0.228078	-0.415076
1	32232245	33899697	-0.331810	-2.922607	-0.643926	-0.221814
1	32624612	35173694	-0.579762	-1.346090	-0.529094	-0.381750
1	33909487	35998134	-0.665692	-0.933890	-0.465672	-0.533957
1	35229508	36523702	-0.641750	-0.864707	-0.457967	-0.546116
1	35998437	37070591	-0.341315	-0.363911	-0.261935	-0.273727
1	36538820	37459552	-0.077072	-0.070397	-0.064240	-0.060669
1	37070855	38029594	-0.180719	-0.204514	-0.167822	-0.139382
1	37479307	38372197	-0.256707	-0.386793	-0.278449	-0.191266
1	38029656	38674677	-0.285431	-0.535343	-0.348175	-0.208278
1	38372331	39042153	-0.294288	-0.532616	-0.308821	-0.216365
1	38674720	39726402	-0.332946	-0.617376	-0.339389	-0.246123
1	39042487	40422664	-0.335167	-0.845919	-0.425351	-0.243325
1	39735661	40898019	-0.245822	-0.849318	-0.398790	-0.169247
1	40427312	41389197	-0.182036	-0.481768	-0.305256	-0.121639
1	40926707	41664030	-0.239763	-0.520657	-0.326556	-0.171011
1	41389467	42255877	-0.248111	-0.482003	-0.307682	-0.179271
1	41667225	42681624	-0.234546	-0.580317	-0.323003	-0.156441
1	42274864	43107802	-0.293269	-5.513948	-0.564473	-0.170038
1	42686256	43781194	-0.239463	-4.741289	-0.435049	-0.123020
1	43113048	44249459	-0.319255	6.904944	-0.563574	-0.169393
1	43807776	44443740	-0.428783	5.877797	-0.699997	-0.254013
1	44249495	47037547	0.056772	0.034181	0.028527	0.040649
1	44451921	47890021	0.106640	0.046442	0.044262	0.035742
1	47039063	48388769	-0.032627	-0.017482	-0.015167	-0.055068
1	47910673	49406936	-0.362777	-0.642043	-0.167231	-0.252105
1	48415173	50056161	-0.274423	-0.534606	-0.171531	-0.191548
1	49407032	51627692	0.048059	0.048561	0.036384	0.044214
1	50076683	53242313	0.059477	0.069257	0.021658	0.040939
1	51627699	54508343	0.017872	0.042462	0.007427	-0.014978
1	53242363	55650127	-0.032483	-0.077176	-0.021414	-0.029082
2	496816	3263060	0.047274	0.076064	0.031443	0.057716
2	1938444	4180395	0.207195	0.325257	0.140395	0.120811
2	3479418	5224085	0.035009	0.050439	0.021664	-0.005435
2	4237578	6229373	0.306650	0.393023	0.228317	0.160357
2	5238952	7319454	0.260917	0.518194	0.245129	0.138091
2	6273618	8275848	-0.148650	-0.151804	-0.117626	-0.076312
2	7436738	8844304	-0.252557	-0.212810	-0.169835	-0.181915
2	8326300	9479166	-0.204136	-0.187128	-0.155435	-0.156461
2	8863533	10320383	-0.186980	-0.100739	-0.088998	-0.165431
2	9479173	11123583	-0.087899	-0.035113	-0.032818	-0.085784
2	10477102	11863423	-0.041195	-0.019217	-0.017303	-0.015936
2	11144342	15213831	0.171721	0.120372	0.097930	0.034400
2	11907198	17974326	0.145574	0.168688	0.069103	0.060930
2	15213860	20356286	-0.003329	-0.019284	-0.001121	0.019723
2	17977124	21899313	-0.002942	3.736898	-0.000980	0.016454
2	20363813	24859637	-0.003965	-0.005752	-0.001164	0.015163
2	21902886	26433461	0.271481	0.239172	0.109010	0.101857
2	24862083	26940852	0.427463	0.353619	0.262790	0.153417
2	26468641	27375762	0.465666	0.353111	0.325893	0.176983
2	26959780	27901747	0.246208	0.383171	0.335125	0.089536
2	27376003	29852699	0.150715	0.444797	0.211750	0.063054
2	27955100	30449557	0.037666	0.112198	0.045841	0.021208
2	29857989	32283791	-0.021911	-0.061835	-0.043315	-0.008728
2	30450031	32921408	0.036180	0.108862	0.084214	0.014440
2	32489339	33453016	0.044812	0.149780	0.123998	0.015459
2	32931893	34357459	-0.034754	-0.112393	-0.082715	-0.008597
2	33463993	34777174	-0.157730	-0.417438	-0.286696	-0.093785
2	34363582	35390582	-0.137203	-0.343217	-0.253952	-0.090790
2	34777924	35665649	-0.194874	-0.543420	-0.352040	-0.140191
2	35404118	35901284	-0.269772	-0.912489	-0.477121	-0.184586
2	35669381	36192198	-0.269365	-0.907073	-0.475557	-0.184668
2	35901445	36385537	-0.268992	-0.890860	-0.470808	-0.184690
2	36192525	36844606	-0.262504	-0.869902	-0.464986	-0.179986
2	36385564	37165166	-0.273743	-0.920963	-0.479428	-0.189674
2	36844623	37411678	-0.272722	-0.922860	-0.479864	-0.189043
2	37219561	37600573	-0.239224	-0.797428	-0.437153	-0.155989
2	37415590	37944980	-0.243608	-0.796503	-0.432063	-0.156612
2	37600772	38419336	-0.260519	-0.852352	-0.454305	-0.174595
2	37945189	38961389	-0.250671	-0.826460	-0.451995	-0.172207
2	38419368	39462019	-0.236499	-0.758355	-0.431232	-0.160705
2	38961395	39891951	-0.193169	-0.717060	-0.410423	-0.124691
2	39465046	40248187	-0.355054	1.715704	-0.125846	-0.156964
2	39903604	41655244	-0.421140	1.004555	-0.135041	-0.175131
2	40248751	42589413	-0.502019	1.076351	-0.232852	-0.217687
2	41659602	43295478	-0.353348	-6.463538	-0.110322	-0.164137
2	42594123	43842782	-0.077535	-0.102490	-0.012574	-0.032677
2	43308569	45470292	0.075359	0.050373	0.014100	0.016775
2	43843110	46786754	0.341925	0.238568	0.183745	0.165772
2	45494383	48180793	0.261194	0.349798	0.195933	0.116623
2	46850686	49937929	0.253309	0.256159	0.174395	0.096991
2	48214844	51447419	0.307740	0.222988	0.213231	0.131300
3	1206084	2932923	-0.291681	-1.592396	-0.273660	-0.188528
3	2383288	3748233	0.194884	0.279239	0.165653	0.114967
3	2932961	4902831	-0.005027	-0.009312	-0.003916	-0.000843
3	3748285	5779780	-0.201905	-0.460906	-0.144391	-0.132399
3	4902912	6898262	-0.135004	-0.310245	-0.094243	-0.086049
3	5794759	8202258	-0.079733	-0.196876	-0.064168	-0.061110
3	6898270	9157412	-0.160599	-0.533427	-0.186840	-0.100895
3	8202466	10206280	-0.037055	-0.135411	-0.054629	-0.011748
3	9157597	10595352	0.146099	0.867843	0.194317	0.067506
3	10208499	11410674	-0.048181	0.305958	-0.071507	-0.004716
3	10740120	12081451	-0.157084	0.556497	-0.241395	-0.043221
3	11439168	13004687	-0.163984	0.546722	-0.275763	-0.044344
3	12097344	13860335	-0.179602	0.561322	-0.313326	-0.048660
3	13013407	14466005	-0.051197	-1.007732	-0.060028	-0.013341
3	13862833	15401587	0.387124	0.337821	0.243963	0.150606
3	14489087	16006783	0.293041	0.389707	0.221681	0.111549
3	15411134	16464933	0.048603	0.099587	0.041321	0.027310
3	16025719	17001254	0.090728	0.063404	0.046175	0.040412
3	16513999	17528537	0.114306	0.063164	0.048989	0.045117
3	17026141	17818546	0.266646	0.122035	0.105714	0.062660
3	17528783	18278722	0.014326	0.009069	0.007239	0.013023
3	17818607	18513109	-0.234695	-0.262723	-0.155204	-0.082314
3	18278778	18888776	-0.348363	-0.574197	-0.178050	-0.128695
3	18532286	19450672	-0.511037	-2.114485	-0.141320	-0.142992
3	18890975	19963717	-0.783985	1.656635	-0.104881	-0.285651
3	19450692	20632664	-0.964360	1.083926	-0.105772	-0.614393
3	19963951	21445965	-0.888210	1.688315	-0.142752	-0.562129
3	20632897	22309739	-0.338427	-0.830229	-0.106718	-0.220033
3	21447518	22693004	0.512076	0.305000	0.251005	0.253770
3	22312161	23239441	0.776667	0.348081	0.342542	0.425876
3	22693084	23927663	0.577161	0.253906	0.218813	0.165142
3	23239582	24557762	0.361061	0.151976	0.125006	0.076327
3	23951443	24863125	0.381975	0.150038	0.136447	0.075386
3	24574485	25350996	0.313678	0.133210	0.118878	0.066687
3	24867672	25864123	0.307083	0.127563	0.113521	0.060743
3	25353017	26325941	0.243613	0.107830	0.091856	0.053339
3	25869157	26889379	0.161677	0.080521	0.065745	0.044727
3	26350886	27344445	0.012698	0.007764	0.005845	0.016880
3	26898267	27776921	-0.229047	-0.200121	-0.122676	-0.054180
3	27399701	28454730	-0.371337	-0.391076	-0.210499	-0.136191
3	27803061	29095786	-0.228878	-0.177659	-0.119340	-0.052519
3	28478932	29528525	0.051097	0.028741	0.024469	0.020114
3	29106171	30491436	-0.156929	-0.128915	-0.095817	-0.024129
3	29529702	30913017	-0.468155	-0.663217	-0.356092	-0.254707
3	30505921	31399791	-0.455338	-0.344759	-0.247147	-0.326226
3	30913286	32105619	-0.126496	-0.060865	-0.048566	-0.086406
3	31420570	32610098	-0.130068	-0.164843	-0.035726	-0.032215
3	32119869	33003667	-0.689247	0.180341	-0.085322	-0.047317
3	32610121	33453530	-0.519028	8.289392	-0.072171	-0.055160
3	33008824	34870780	-0.353406	-0.075155	-0.055855	-0.155880
3	33766980	35716439	-0.262676	-0.178137	-0.096425	-0.124534
3	34882964	36603835	0.055099	0.085559	0.040165	0.027571
3	35728440	37212430	0.021887	0.038396	0.017528	0.000028
3	36655715	38122604	-0.561625	-2.664281	-0.348024	-0.367951
3	37221230	39567859	-0.238096	-0.304179	-0.132894	-0.180571
3	38122665	40537326	0.045509	0.039917	0.022484	-0.001994
3	39567898	41023716	0.100651	0.078959	0.045023	0.028169
3	40537348	41811596	0.143404	0.111497	0.077109	0.036762
3	41023745	43600555	-0.034935	-0.034482	-0.024080	-0.021257
3	41813543	44926941	-0.177030	-0.185226	-0.105743	-0.114819
3	43706578	46776691	-0.233426	-0.313562	-0.139941	-0.138057
3	45029555	47402306	-0.102179	-0.135151	-0.075560	-0.034835
4	1736264	3752215	0.709378	0.421065	0.375171	0.488119
4	2887895	4770952	0.216541	0.279172	0.108166	0.085684
4	3752252	6614977	-0.152721	-0.906428	-0.060706	-0.094965
4	4940916	7756710	-0.098641	-0.197299	-0.048758	-0.057783
4	6642445	8483888	0.304662	0.220282	0.134450	0.174829
4	7756755	8877092	0.668320	0.446835	0.340526	0.421860
4	8483895	9281008	0.797203	0.568282	0.562634	0.580485
4	8878372	9670209	0.030979	0.062062	0.014790	-0.040762
4	9281038	9903103	-0.781076	1.328051	-0.187004	-0.387878
4	9677338	10593460	-0.936377	1.163226	-0.124940	-0.480281
4	9903141	11020778	-0.384444	30.577745	-0.047030	-0.288621
4	10601998	11441056	0.010224	0.021181	0.002093	-0.013908
4	11020801	12117458	0.202543	0.233511	0.058704	0.046873
4	11441126	13277221	0.592087	0.370204	0.201542	0.426954
4	12117490	14029371	0.398638	0.315225	0.187344	0.246030
4	13277397	14418182	0.381918	0.263508	0.175945	0.272137
4	14124360	14899127	0.683626	0.327444	0.273838	0.532259
4	14418346	15263232	0.869591	0.323935	0.313439	0.683840
4	14927200	16061619	0.915777	0.325700	0.325545	0.729402
4	15263632	16531447	0.866729	0.600289	0.599548	0.770108
4	16074017	17199948	0.846248	0.582057	0.578787	0.769967
4	16531592	17450851	0.855402	0.549458	0.545851	0.773349
4	17200165	17825496	0.890897	0.593775	0.592659	0.796243
4	17464179	18241194	0.894375	0.543556	0.543556	0.784703
4	17826402	18634480	0.860376	0.520878	0.520878	0.746914
4	18245135	18859752	0.888995	0.575013	0.575013	0.782816
4	18634524	19381558	0.897027	0.558049	0.558049	0.789051
4	18862276	19853444	0.819145	0.460868	0.420849	0.733614
4	19381799	21969312	0.608548	0.367628	0.229867	0.444323
4	19962302	24723637	0.549261	0.478138	0.225633	0.253333
4	21998995	25973633	0.656260	0.539986	0.348215	0.351168
4	24730858	27239574	0.749733	0.552548	0.416362	0.670920
4	25973640	28008072	0.646626	0.594556	0.285568	0.549124
4	27244332	29662783	0.721629	0.548615	0.332689	0.620579
4	28016327	29938130	0.823895	0.449049	0.448396	0.751323
4	29663970	30378378	0.766294	0.399836	0.399836	0.705828
4	29938165	30617233	0.818397	0.510501	0.510501	0.754839
4	30378494	31185408	0.857471	0.654905	0.654905	0.788457
4	30636221	31474900	0.854566	0.643027	0.643027	0.786227
4	31185590	32012627	0.839685	0.584812	0.584812	0.774046
4	31475310	32530103	0.817831	0.490550	0.490550	0.751411
4	32012670	32993906	0.738888	0.431489	0.328724	0.668749
4	32530120	33345376	0.734471	0.426480	0.324511	0.668436
4	32995882	33762871	0.721795	0.318401	0.318401	0.666864
4	33346040	36771147	0.389493	0.242497	0.098194	0.244812
4	33769898	37451279	0.769581	0.419835	0.287827	0.643507
4	36771332	38061416	0.865215	0.404235	0.403448	0.732149
4	37457779	38353265	0.749697	0.323212	0.322385	0.655681
4	38071353	39059414	0.806541	0.354623	0.354286	0.718555
4	38353289	39501213	0.926647	0.412178	0.412178	0.841278
4	39103227	39793004	0.844029	0.261554	0.252478	0.703874
4	39501251	40405809	0.290036	0.051575	0.047845	0.125796
4	39795480	40778569	0.526455	0.068907	0.067591	0.260298
4	40438692	41592033	0.360659	0.060706	0.057404	0.164440
4	40810922	42116704	-0.025113	-0.015948	-0.010956	-0.016321
4	41592046	42681439	-0.613311	-2.059484	-0.337349	-0.482204
4	42126823	43757337	-0.576834	-2.127865	-0.433311	-0.382076
4	42709775	44938877	-0.374017	-0.431106	-0.222774	-0.210090
4	43757380	46473886	0.011410	0.009337	0.006068	-0.023323
4	44938888	47473615	0.091925	0.099252	0.065811	0.046137
4	46497774	49064923	0.135276	0.196143	0.117024	0.084793
5	1487058	4011587	-0.533082	-2.035547	-0.344296	-0.381556
5	3002558	7862889	-0.104193	-0.150042	-0.060879	-0.105598
5	4110862	8930596	0.334700	0.137804	0.106881	0.129888
5	7951533	14268199	-0.245780	-0.173095	-0.108617	-0.108581
5	8956616	20209005	-0.369670	-5.103480	-0.413176	-0.149286
5	14311560	24467329	-0.163699	-0.708550	-0.153296	-0.076685
5	20297085	25169112	0.371763	0.384603	0.273940	0.145675
5	24684421	25460838	0.776245	0.501343	0.490675	0.505906
5	25201712	25935602	0.788456	0.498997	0.490025	0.527001
5	25460881	26249047	0.792301	0.498675	0.497188	0.517352
5	25936121	26722525	0.786802	0.490675	0.482419	0.512998
5	26289770	27229069	0.453769	0.412561	0.205397	0.268612
5	26745681	27582029	0.198052	0.345046	0.099524	0.088996
5	27229358	28031568	0.481829	0.529914	0.508361	0.228541
5	27582292	29296849	0.409971	0.489460	0.459054	0.209323
5	28035818	30964920	0.489696	0.371399	0.324417	0.243930
5	29296886	31420444	0.299435	0.438346	0.378847	0.142947
5	30974271	32717987	0.232601	0.382180	0.276220	0.118282
5	31420466	33864345	0.203860	0.289002	0.181740	0.096446
5	32723715	34912653	0.250390	0.330174	0.205240	0.121646
5	33865396	36226507	0.259096	0.363471	0.163993	0.205721
5	34953812	36863813	0.060962	0.152927	0.037275	0.085067
5	36226528	38028055	-0.213292	-2.757845	-0.144832	-0.113273
5	36959239	39082944	0.014136	0.014833	0.009743	0.002141
5	38028075	40221204	0.123019	0.112042	0.077397	0.052239
5	39151100	41181026	-0.033461	-0.076380	-0.025876	-0.018526
6	111110	2996203	-0.565994	-3.703411	-0.357403	-0.354153
6	1566159	4855410	-0.710209	16.010392	-0.418939	-0.517701
6	2996208	6565007	0.021624	0.030949	0.012164	-0.042417
6	4932866	10325832	0.505774	0.385118	0.256938	0.259831
6	6598309	11219619	0.267769	0.201974	0.143369	0.088621
6	10327715	13049347	0.126580	0.086667	0.043981	0.036750
6	11293253	13766609	-0.337051	-0.381874	-0.139870	-0.216170
6	13121996	14928530	-0.135685	-0.186161	-0.092011	-0.097541
6	13789721	15716333	0.435841	0.389601	0.359903	0.309685
6	14929118	16673302	0.434799	0.392736	0.367803	0.264264
6	15716648	17605275	0.271945	0.187264	0.172127	0.152512
6	16744009	18682366	-0.165982	-0.110359	-0.092433	-0.166359
6	17650980	19342088	-0.221788	-0.152117	-0.119523	-0.169500
6	18704009	20597697	0.343372	0.105286	0.094982	0.196888
6	19354889	21309559	0.962480	0.111476	0.111250	0.958078
6	20649693	21814668	0.865162	0.123954	0.123547	0.836956
6	21309826	23489773	0.551846	0.114134	0.107420	0.340217
6	21899645	25042332	0.167199	0.050908	0.044518	-0.019079
6	23514404	26842635	0.236757	0.067813	0.061157	0.024806
6	25082307	28850428	0.351192	0.090807	0.084561	0.152413
6	26976751	29995685	0.321285	0.075871	0.070531	0.150108
6	28853186	31429617	0.329390	0.067292	0.060628	0.128864
6	30006917	32393157	0.082917	0.020464	0.018100	-0.032115
6	31459158	33616036	0.309056	0.059065	0.054309	0.123857
6	32398705	34886539	0.930805	0.113613	0.109798	0.909900
6	33617476	35674050	1.000000	0.093822	0.093822	1.000000
6	34957178	36746402	1.000000	0.079776	0.079776	1.000000
6	35674315	37567033	-0.387156	-0.138112	-0.065486	-0.278109
6	36746411	37923522	-0.658293	-5.524042	-0.298983	-0.270501
6	37575433	38331381	-0.527185	1.479295	-0.418199	-0.134121
6	37923528	38631025	-0.376088	1.522030	-0.260933	-0.087766
6	38331687	38874152	-0.318720	-1.356717	-0.206666	-0.091986
6	38631226	39438286	-0.279104	-1.382961	-0.188580	-0.068813
6	38880813	39953705	-0.101958	-0.221886	-0.059859	-0.013104
6	39454866	40123326	0.180970	0.137348	0.087816	0.061182
6	39953736	40347353	0.187878	0.127648	0.081912	0.071235
6	40123645	40800119	0.162121	0.140666	0.084852	0.073716
6	40355810	41183196	0.217950	0.230392	0.170021	0.145368
6	40810272	41550397	0.121175	0.209300	0.127702	0.082482
6	41196546	42266905	-0.142539	-1.089930	-0.185774	-0.064672
6	41560958	42562387	-0.307087	5.620256	-0.416688	-0.120387
6	42276008	42960647	-0.396883	-9.125916	-0.367180	-0.195383
6	42605420	43328585	-0.653692	-18.929968	-0.445296	-0.510449
6	42963091	43606796	-0.849965	29.376817	-0.482929	-0.736844
6	43348068	44196689	-0.732367	-3.122802	-0.361704	-0.583366
6	43624587	44774727	-0.744086	-8.350854	-0.393433	-0.501179
6	44196700	45589508	-0.513396	-9.763969	-0.349188	-0.278734
6	44774752	45782424	-0.076964	-0.270923	-0.137972	-0.044114
6	45589513	46097117	-0.225396	-0.706805	-0.307784	-0.111476
6	45783139	46682924	-0.376832	-0.613920	-0.315258	-0.203226
6	46097197	47289023	-0.264961	-0.290822	-0.183702	-0.166579
6	46682936	48058256	0.009751	0.016015	0.007005	-0.007068
6	47291795	48711884	0.263427	0.291727	0.171685	0.149957
6	48096280	49565510	0.204615	0.210878	0.110277	0.089588
6	48712019	50443082	-0.151649	-0.442699	-0.091516	-0.143628
7	1097730	3547188	-0.008051	-0.007789	-0.004217	-0.046553
7	2485335	4668327	0.144688	0.115345	0.075446	0.086229
7	3549979	6148717	0.293320	0.190396	0.116780	0.170511
7	4681774	6655264	0.262205	0.206445	0.096363	0.126515
7	6148933	7584426	0.321147	0.322748	0.172562	0.194825
7	6655271	8199857	0.287092	0.395278	0.200976	0.187594
7	7600185	9245143	0.301236	0.498460	0.183353	0.162768
7	8203918	10063098	0.104054	0.198855	0.045162	0.055825
7	9245688	12152834	-0.412445	-1.064067	-0.213800	-0.201845
7	10063381	12920686	-0.309467	-0.438146	-0.221726	-0.278124
7	12196962	13353014	0.393015	0.182939	0.182497	0.337893
7	12920693	13825796	0.397216	0.169712	0.169606	0.362215
7	13361658	14343512	0.372221	0.162980	0.160259	0.327044
7	13826001	15060167	0.088277	0.053580	0.040406	0.021409
7	14343575	15667893	-0.034360	-0.032777	-0.016326	-0.032477
7	15060509	16135306	0.479933	0.375858	0.245992	0.283258
7	15668215	17617240	0.253950	0.243516	0.156871	0.116946
7	16144918	19212455	0.220064	0.266645	0.147823	0.159580
7	17617280	19956215	0.510532	0.660037	0.308977	0.367872
7	19240795	20831921	0.564021	1.474771	0.192428	0.314998
7	19956264	22226737	0.601736	1.426551	0.193491	0.344507
7	20832307	23328557	0.622784	1.065407	0.264243	0.405321
7	22235499	24079104	0.573849	0.919200	0.219632	0.379051
7	23351449	25159486	0.562729	0.883075	0.219411	0.383500
7	24088428	26136330	0.638795	0.938175	0.324360	0.459291
7	25194369	27108682	0.631182	0.866256	0.388594	0.479392
7	26141573	28134757	0.605250	0.870210	0.323531	0.446232
7	27132947	29177204	0.634467	0.942320	0.296767	0.454628
7	28138744	30574390	0.665237	0.923542	0.369760	0.490057
7	29177485	32497029	0.615393	4.937446	0.127686	0.303908
7	30653564	34607455	0.179883	-0.061937	0.009066	0.043439
7	32606469	35862769	0.201788	-0.132457	0.015316	0.052466
7	34607467	37000933	-0.166211	-0.234765	-0.059408	-0.045589
7	35863055	37638843	0.256392	0.203314	0.158448	0.087299
7	37000963	38203820	0.620828	0.482385	0.393717	0.403667
7	37662848	39829719	0.542609	0.473375	0.366360	0.349216
7	38246306	42368529	0.532716	0.202023	0.188172	0.295298
8	475311	3362667	0.007684	0.009133	0.004261	0.015051
8	2256657	7075442	-0.071873	-0.065654	-0.031763	-0.072365
8	3371296	8859557	0.102868	0.048209	0.038728	0.048353
8	7075530	10584228	0.632892	0.571175	0.482967	0.496840
8	8859582	11618422	0.612409	0.724418	0.532051	0.445261
8	10728922	12703117	0.356503	0.313628	0.211803	0.229113
8	11639362	13997258	0.082188	0.041789	0.029180	0.054285
8	12703305	16237107	0.084273	0.034123	0.025518	0.065659
8	14000931	16964689	0.575915	0.209671	0.185933	0.311693
8	16245564	18102178	0.440204	0.206140	0.180216	0.243756
8	16984544	18825840	-0.005199	-0.004653	-0.003044	0.032944
8	18103071	19400834	-0.556149	-2.083462	-0.399059	-0.406478
8	18842684	19939412	-0.457935	-1.771062	-0.359085	-0.413552
8	19412193	21933283	0.347479	0.396200	0.309932	0.249230
8	19939804	23089874	0.611894	0.695525	0.393822	0.492725
8	21938279	23756456	0.723312	0.849626	0.454178	0.564399
8	23090548	24649759	-0.024677	-0.051997	-0.014330	-0.002227
8	23772630	25428530	-0.259682	2.107084	-0.182759	-0.069378
8	24649775	25891616	-0.263671	-1.279972	-0.161671	-0.069924
8	25430786	26425041	-0.193340	-0.235107	-0.101182	-0.056490
8	25892031	27092100	-0.193135	-0.373641	-0.111904	-0.057338
8	26425241	27740031	-0.233508	4.712188	-0.159192	-0.060279
8	27126076	28391788	-0.230682	-0.803406	-0.128471	-0.059607
8	27746001	28953793	-0.226865	1.542738	-0.180026	-0.061301
8	28395909	29625476	-0.192249	0.720416	-0.216149	-0.054582
8	29000330	29951672	-0.200997	0.649690	-0.207605	-0.054766
8	29625599	30518065	-0.217507	-0.262757	-0.100541	-0.057911
8	29957197	31282906	-0.266169	-0.183498	-0.106507	-0.115311
8	30518096	32076794	-0.256617	-0.274379	-0.121279	-0.110453
8	31283239	32873519	-0.199322	-2.711887	-0.124896	-0.050419
8	32086101	33679461	-0.210594	-0.792244	-0.144973	-0.067509
8	32879014	34386971	-0.210072	-0.258213	-0.105379	-0.067012
8	33756313	34804436	-0.245506	-1.350207	-0.124471	-0.061269
8	34466482	34990163	-0.403377	0.500307	-0.078571	-0.100390
8	34804474	36109659	-0.179695	0.705308	-0.046176	-0.049578
8	35016031	36373306	0.104125	0.185342	0.067129	0.020235
8	36109873	40210365	0.324291	0.256128	0.192650	0.106997
8	36373644	40767860	0.449706	0.252623	0.173147	0.197132
8	40210410	41421060	0.189441	0.159740	0.134633	0.105723
8	40767883	42026048	0.002680	0.001825	0.001437	0.002849
8	41449080	43211865	-0.250333	-0.229954	-0.125793	-0.091306
8	42030098	44723375	0.016681	0.020699	0.010076	0.015928
8	43217501	46136251	0.133051	0.118233	0.053075	0.071754
9	897380	3886629	-0.247820	-0.498563	-0.180981	-0.171465
9	2631416	4604273	-0.258622	-1.298959	-0.177859	-0.118978
9	3891245	5313975	0.049125	0.130043	0.042458	0.062001
9	4608021	6122769	-0.031509	-0.050685	-0.029679	-0.026015
9	5319835	6696429	-0.204230	-0.292857	-0.150466	-0.079429
9	6129027	7341128	-0.196632	-0.448584	-0.206726	-0.088272
9	6696443	7855965	0.040700	0.120265	0.062665	0.007874
9	7346846	8105057	0.194876	0.210350	0.170748	0.088392
9	7873774	8438742	0.173666	0.156800	0.135833	0.067344
9	8113334	8971977	0.192179	0.222248	0.185587	0.061148
9	8439024	9197375	0.309883	0.243502	0.235064	0.105450
9	8972000	9593949	0.291578	0.170811	0.168394	0.108494
9	9225624	9957034	0.054705	0.032472	0.028405	0.018818
9	9593972	10333864	-0.123636	-0.066015	-0.055421	-0.063838
9	9959638	10768549	-0.104448	-0.039548	-0.033862	-0.033540
9	10343309	11208349	-0.075360	-0.038541	-0.032525	-0.020056
9	10780759	11876558	-0.184953	-0.224569	-0.176748	-0.110116
9	11213083	12274359	-0.180823	-0.251963	-0.195835	-0.144525
9	11892448	12734712	-0.081961	-0.112411	-0.094199	-0.045993
9	12337906	13169159	0.036634	0.084547	0.074863	0.007696
9	12743784	13611218	0.038581	0.177494	0.161981	0.007545
9	13169376	13930884	0.020964	0.166434	0.142803	0.004109
9	13613519	14807345	0.025399	0.233886	0.192101	0.004896
9	13956951	15056801	0.031614	0.219983	0.207381	0.006197
9	14807579	15442314	0.036686	0.253004	0.243113	0.006868
9	15063887	16052329	0.049193	0.273572	0.262757	0.008747
9	15442994	16514194	0.057695	0.221212	0.209505	0.010118
9	16065242	16965426	0.055296	0.212403	0.198184	0.009633
9	16527374	17419618	0.035076	0.242701	0.205063	0.006382
9	16971570	18138082	0.047409	0.281501	0.226075	0.008307
9	17420327	18359349	0.168146	0.484989	0.458281	0.047339
9	18138310	18678918	0.180665	0.465721	0.417142	0.050715
9	18369612	19273071	0.070268	0.302271	0.243930	0.011562
