id	chrom	start	stop	pos_start	pos_stop	modelL	nullL	sel_coef	nSNPs	nSNPs_avail	xpclr	xpclr_norm
1_05700001_06200000	1	5700001	6200000	5701142	6196982	-59.36709180857405	-59.36709180857405	0.0	49.0	49.0	0.0	-0.10514711803670448
1_05800001_06300000	1	5800001	6300000	5839951	6276916	-41.52156837868193	-41.52156837868193	0.0	41.0	41.0	0.0	-0.10514711803670448
1_05900001_06400000	1	5900001	6400000	5919265	6386915	-47.351950563183294	-47.351950563183294	0.0	54.0	54.0	0.0	-0.10514711803670448
1_06000001_06500000	1	6000001	6500000	6026446	6473143	-29.368357521781867	-29.368357521781867	0.0	49.0	49.0	0.0	-0.10514711803670448
1_06100001_06600000	1	6100001	6600000	6119873	6595209	-33.15563028938862	-33.15563028938862	0.0	60.0	60.0	0.0	-0.10514711803670448
1_06200001_06700000	1	6200001	6700000	6206514	6694936	-39.498682691536054	-39.498682691536054	0.0	60.0	60.0	0.0	-0.10514711803670448
1_06300001_06800000	1	6300001	6800000	6302274	6772974	-45.19867659971683	-45.19867659971683	0.0	59.0	59.0	0.0	-0.10514711803670448
1_06400001_06900000	1	6400001	6900000	6414430	6899829	-55.637558753337146	-55.637558753337146	0.0	49.0	49.0	0.0	-0.10514711803670448
1_06500001_07000000	1	6500001	7000000	6511835	6976340	-55.636410756133046	-55.636410756133046	0.0	52.0	52.0	0.0	-0.10514711803670448
1_06600001_07100000	1	6600001	7100000	6630103	7084599	-38.95220269577534	-38.95220269577534	0.0	43.0	43.0	0.0	-0.10514711803670448
1_06700001_07200000	1	6700001	7200000	6763756	7119971	-34.948289907482575	-34.948289907482575	0.0	38.0	38.0	0.0	-0.10514711803670448
1_06800001_07300000	1	6800001	7300000	6827899	7276982	-34.95871521612282	-34.95871521612282	0.0	39.0	39.0	0.0	-0.10514711803670448
1_06900001_07400000	1	6900001	7400000	6907907	7339160	-38.10027494809379	-38.10027494809379	0.0	33.0	33.0	0.0	-0.10514711803670448
1_07000001_07500000	1	7000001	7500000	7044231	7497224	-37.214637471557324	-37.214637471557324	0.0	22.0	22.0	0.0	-0.10514711803670448
1_07100001_07600000	1	7100001	7600000	7100021	7589621	-25.567553599672557	-25.567553599672557	0.0	30.0	30.0	0.0	-0.10514711803670448
1_07200001_07700000	1	7200001	7700000	7221208	7690730	-52.91180706799728	-52.91180706799728	0.0	35.0	35.0	0.0	-0.10514711803670448
1_07300001_07800000	1	7300001	7800000	7307721	7796328	-48.64981090273658	-48.64981090273658	0.0	33.0	33.0	0.0	-0.10514711803670448
1_07400001_07900000	1	7400001	7900000	7471187	7894817	-41.317421880311755	-41.317421880311755	0.0	48.0	48.0	0.0	-0.10514711803670448
1_07500001_08000000	1	7500001	8000000	7518262	7993032	-46.91078061261166	-46.91078061261166	0.0	68.0	68.0	0.0	-0.10514711803670448
1_07600001_08100000	1	7600001	8100000	7626866	8098260	-42.73915107162103	-42.73915107162103	0.0	59.0	59.0	0.0	-0.10514711803670448
1_07700001_08200000	1	7700001	8200000	7714079	8167632	-23.135654077903514	-28.08364816394318	0.01	56.0	56.0	9.895988172079335	14.917888358693883
1_07800001_08300000	1	7800001	8300000	7832563	8297009	-28.114832903239332	-28.114832903239332	0.0	62.0	62.0	0.0	-0.10514711803670448
1_07900001_08400000	1	7900001	8400000	7903400	8339424	-33.81760923981558	-33.81760923981558	0.0	53.0	53.0	0.0	-0.10514711803670448
1_08000001_08500000	1	8000001	8500000	8012718	8498684	-34.08652568017099	-34.08652568017099	0.0	36.0	36.0	0.0	-0.10514711803670448
1_08100001_08600000	1	8100001	8600000	8111920	8563530	-39.801205616976226	-39.801205616976226	0.0	33.0	33.0	0.0	-0.10514711803670448
1_08200001_08700000	1	8200001	8700000	8209444	8563530	-28.493267279461953	-28.493267279461953	0.0	27.0	27.0	0.0	-0.10514711803670448
1_08300001_08800000	1	8300001	8800000	8303206	8798106	-37.789020447750204	-37.789020447750204	0.0	22.0	22.0	0.0	-0.10514711803670448
1_08400001_08900000	1	8400001	8900000	8411159	8798106	-32.085614350643695	-32.085614350643695	0.0	12.0	12.0	0.0	-0.10514711803670448
1_08500001_09000000	1	8500001	9000000	8516460	8798106	-26.245222209057896	-26.245222209057896	0.0	6.0	6.0	0.0	-0.10514711803670448
1_08600001_09100000	1	8600001	9100000	8783155	8798106	-9.358137517179767	-9.358137517179767	0.0	3.0	3.0	0.0	-0.10514711803670448
1_08700001_09200000	1	8700001	9200000	8783155	8798106	-9.358137517179767	-9.358137517179767	0.0	3.0	3.0	0.0	-0.10514711803670448
1_08800001_09300000	1	8800001	9300000	0	0				1.0	1.0		
1_08900001_09400000	1	8900001	9400000	0	0				1.0	1.0		
1_09000001_09500000	1	9000001	9500000	0	0				1.0	1.0		
1_09100001_09600000	1	9100001	9600000	9282778	9511211	-10.134926791649697	-10.134926791649697	0.0	2.0	2.0	0.0	-0.10514711803670448
1_09200001_09700000	1	9200001	9700000	9282778	9511211	-10.134926791649697	-10.134926791649697	0.0	2.0	2.0	0.0	-0.10514711803670448
1_09300001_09800000	1	9300001	9800000	0	0				1.0	1.0		
1_09400001_09900000	1	9400001	9900000	9511211	9862271	-4.14572918624058	-4.14572918624058	0.0	2.0	2.0	0.0	-0.10514711803670448
1_09500001_10000000	1	9500001	10000000	9511211	9974417	-13.455267156560446	-13.455267156560446	0.0	5.0	5.0	0.0	-0.10514711803670448
1_09600001_10100000	1	9600001	10100000	9862271	10083786	-13.455267156560447	-13.455267156560447	0.0	5.0	5.0	0.0	-0.10514711803670448
1_09700001_10200000	1	9700001	10200000	9862271	10187486	-17.024939285432136	-17.024939285432136	0.0	6.0	6.0	0.0	-0.10514711803670448
1_09800001_10300000	1	9800001	10300000	9862271	10187486	-17.024939285432136	-17.024939285432136	0.0	6.0	6.0	0.0	-0.10514711803670448
1_09900001_10400000	1	9900001	10400000	9954820	10187486	-17.024939285432136	-17.024939285432136	0.0	5.0	5.0	0.0	-0.10514711803670448
1_10000001_10500000	1	10000001	10500000	10083786	10187486	-7.7154013151122705	-7.7154013151122705	0.0	2.0	2.0	0.0	-0.10514711803670448
1_10100001_10600000	1	10100001	10600000	10187486	10588023	-7.434720325656287	-7.434720325656287	0.0	2.0	2.0	0.0	-0.10514711803670448
1_10200001_10700000	1	10200001	10700000	0	0				1.0	1.0		
1_10300001_10800000	1	10300001	10800000	0	0				1.0	1.0		
1_10400001_10900000	1	10400001	10900000	10588023	10810189	-8.030225481813115	-8.030225481813115	0.0	2.0	2.0	0.0	-0.10514711803670448
1_10500001_11000000	1	10500001	11000000	10588023	10967966	-13.943372128014673	-13.943372128014673	0.0	3.0	3.0	0.0	-0.10514711803670448
1_10600001_11100000	1	10600001	11100000	10810189	10967966	-10.078323931230075	-10.078323931230075	0.0	2.0	2.0	0.0	-0.10514711803670448
1_10700001_11200000	1	10700001	11200000	10810189	11145711	-13.607345380390559	-13.607345380390559	0.0	3.0	3.0	0.0	-0.10514711803670448
1_10800001_11300000	1	10800001	11300000	10810189	11145711	-13.607345380390559	-13.607345380390559	0.0	3.0	3.0	0.0	-0.10514711803670448
1_10900001_11400000	1	10900001	11400000	10967966	11145711	-9.44216809536204	-9.44216809536204	0.0	2.0	2.0	0.0	-0.10514711803670448
1_11000001_11500000	1	11000001	11500000	11145711	11493740	-7.403803085692577	-7.403803085692577	0.0	2.0	2.0	0.0	-0.10514711803670448
1_11100001_11600000	1	11100001	11600000	11145711	11598933	-15.418362637119339	-15.418362637119339	0.0	4.0	4.0	0.0	-0.10514711803670448
1_11200001_11700000	1	11200001	11700000	11493740	11686726	-15.923998392188118	-15.923998392188118	0.0	18.0	18.0	0.0	-0.10514711803670448
1_11300001_11800000	1	11300001	11800000	11493740	11784726	-19.90869573619532	-19.90869573619532	0.0	32.0	32.0	0.0	-0.10514711803670448
1_11400001_11900000	1	11400001	11900000	11493740	11889991	-23.653055051264037	-23.653055051264037	0.0	39.0	39.0	0.0	-0.10514711803670448
1_11500001_12000000	1	11500001	12000000	11585737	11984803	-23.653055051264033	-23.653055051264033	0.0	50.0	50.0	0.0	-0.10514711803670448
1_11600001_12100000	1	11600001	12100000	11619031	12078232	-34.954422572416995	-34.954422572416995	0.0	64.0	64.0	0.0	-0.10514711803670448
1_11700001_12200000	1	11700001	12200000	11711192	12135656	-34.954204767306365	-34.954204767306365	0.0	50.0	50.0	0.0	-0.10514711803670448
1_11800001_12300000	1	11800001	12300000	11800209	12260299	-30.96448366557358	-30.96816234417459	1e-05	47.0	47.0	0.007357357202018022	-0.09397796177470062
1_11900001_12400000	1	11900001	12400000	11904297	12392633	-39.24209533523137	-39.24209533523137	0.0	62.0	62.0	0.0	-0.10514711803670448
1_12000001_12500000	1	12000001	12500000	12005204	12392633	-39.241578889710624	-39.241578889710624	0.0	50.0	50.0	0.0	-0.10514711803670448
1_12100001_12600000	1	12100001	12600000	12135656	12579736	-23.85518427556313	-23.85518427556313	0.0	41.0	41.0	0.0	-0.10514711803670448
1_12200001_12700000	1	12200001	12700000	12203194	12579736	-23.855129669153627	-23.855129669153627	0.0	40.0	40.0	0.0	-0.10514711803670448
1_12300001_12800000	1	12300001	12800000	12300595	12794663	-23.85685719171347	-23.85685719171347	0.0	38.0	38.0	0.0	-0.10514711803670448
1_12400001_12900000	1	12400001	12900000	12530517	12896907	-15.923998392188118	-15.923998392188118	0.0	22.0	22.0	0.0	-0.10514711803670448
1_12500001_13000000	1	12500001	13000000	12530517	12993870	-19.958655596417383	-19.958655596417383	0.0	34.0	34.0	0.0	-0.10514711803670448
1_12600001_13100000	1	12600001	13100000	12700429	13038887	-19.95865559641738	-19.95865559641738	0.0	30.0	30.0	0.0	-0.10514711803670448
1_12700001_13200000	1	12700001	13200000	12700429	13170109	-27.618754808288788	-27.618754808288788	0.0	45.0	45.0	0.0	-0.10514711803670448
1_12800001_13300000	1	12800001	13300000	12836953	13288369	-48.1228184382625	-48.1228184382625	0.0	61.0	61.0	0.0	-0.10514711803670448
1_12900001_13400000	1	12900001	13400000	12903818	13399059	-48.07814239432933	-48.07814239432933	0.0	66.0	66.0	0.0	-0.10514711803670448
1_13000001_13500000	1	13000001	13500000	13007325	13458310	-43.40094110872602	-43.40094110872602	0.0	62.0	62.0	0.0	-0.10514711803670448
1_13100001_13600000	1	13100001	13600000	13114502	13599910	-47.383622188031666	-47.383622188031666	0.0	74.0	74.0	0.0	-0.10514711803670448
1_13200001_13700000	1	13200001	13700000	13207692	13667795	-39.72339590017553	-39.72339590017553	0.0	65.0	65.0	0.0	-0.10514711803670448
1_13300001_13800000	1	13300001	13800000	13304010	13730960	-33.451664660881065	-33.451664660881065	0.0	41.0	41.0	0.0	-0.10514711803670448
1_13400001_13900000	1	13400001	13900000	13411854	13730960	-29.41142394379323	-29.41142394379323	0.0	30.0	30.0	0.0	-0.10514711803670448
1_13500001_14000000	1	13500001	14000000	13535532	13991189	-31.71775189091147	-31.71775189091147	0.0	24.0	24.0	0.0	-0.10514711803670448
1_13600001_14100000	1	13600001	14100000	13600092	14054472	-27.733475509236307	-27.733475509236307	0.0	10.0	10.0	0.0	-0.10514711803670448
1_13700001_14200000	1	13700001	14200000	13730960	14156728	-26.67151429137368	-26.67151429137368	0.0	6.0	6.0	0.0	-0.10514711803670448
1_13800001_14300000	1	13800001	14300000	13967460	14292681	-26.741644340365085	-26.741644340365085	0.0	7.0	7.0	0.0	-0.10514711803670448
1_13900001_14400000	1	13900001	14400000	13967460	14380708	-33.84553309313515	-33.84553309313515	0.0	14.0	14.0	0.0	-0.10514711803670448
1_14000001_14500000	1	14000001	14500000	14054472	14487361	-37.74026370378593	-37.74026370378593	0.0	16.0	16.0	0.0	-0.10514711803670448
1_14100001_14600000	1	14100001	14600000	14127831	14571820	-37.72857536228736	-37.72857536228736	0.0	18.0	18.0	0.0	-0.10514711803670448
1_14200001_14700000	1	14200001	14700000	14218075	14571820	-37.72857536228736	-37.72857536228736	0.0	16.0	16.0	0.0	-0.10514711803670448
1_14300001_14800000	1	14300001	14800000	14338211	14766926	-37.66622729495683	-37.66622729495683	0.0	17.0	17.0	0.0	-0.10514711803670448
1_14400001_14900000	1	14400001	14900000	14419946	14879194	-44.159093816740906	-44.159093816740906	0.0	12.0	12.0	0.0	-0.10514711803670448
1_14500001_15000000	1	14500001	15000000	14525087	14932951	-34.204411037684885	-34.204411037684885	0.0	12.0	12.0	0.0	-0.10514711803670448
1_14600001_15100000	1	14600001	15100000	14730966	15078177	-36.268394423164075	-38.024513231751776	0.0006	14.0	14.0	3.5122376171754013	5.2267580346396185
1_14700001_15200000	1	14700001	15200000	14730966	15179107	-44.770624032327966	-44.770624032327966	0.0	18.0	18.0	0.0	-0.10514711803670448
1_14800001_15300000	1	14800001	15300000	14819480	15289344	-51.70885579807183	-51.70885579807183	0.0	18.0	18.0	0.0	-0.10514711803670448
1_14900001_15400000	1	14900001	15400000	14912620	15372771	-52.43611830981759	-52.43611830981759	0.0	20.0	20.0	0.0	-0.10514711803670448
1_15000001_15500000	1	15000001	15500000	15023635	15466911	-44.621594249523575	-44.621594249523575	0.0	20.0	20.0	0.0	-0.10514711803670448
1_15100001_15600000	1	15100001	15600000	15114885	15466911	-40.73855198037136	-40.73855198037136	0.0	15.0	15.0	0.0	-0.10514711803670448
1_15200001_15700000	1	15200001	15700000	15272203	15689124	-33.996988353600976	-33.996988353600976	0.0	14.0	14.0	0.0	-0.10514711803670448
1_15300001_15800000	1	15300001	15800000	15361918	15762981	-40.18144973128823	-40.18144973128823	0.0	16.0	16.0	0.0	-0.10514711803670448
1_15400001_15900000	1	15400001	15900000	15427477	15890381	-46.92301335805862	-46.92301335805862	0.0	14.0	14.0	0.0	-0.10514711803670448
1_15500001_16000000	1	15500001	16000000	15649243	15890381	-39.99492944632671	-39.99492944632671	0.0	10.0	10.0	0.0	-0.10514711803670448
1_15600001_16100000	1	15600001	16100000	15649243	16071791	-46.92301335805862	-46.92301335805862	0.0	13.0	13.0	0.0	-0.10514711803670448
1_15700001_16200000	1	15700001	16200000	15734571	16193127	-45.46991235471476	-46.923013358058625	5e-05	11.0	11.0	2.906202006687735	4.306739303998264
1_15800001_16300000	1	15800001	16300000	15855098	16260016	-33.81046806863945	-33.81046806863945	0.0	8.0	8.0	0.0	-0.10514711803670448
1_15900001_16400000	1	15900001	16400000	16002056	16260016	-27.06890444186906	-27.06890444186906	0.0	6.0	6.0	0.0	-0.10514711803670448
1_16000001_16500000	1	16000001	16500000	16002056	16447275	-46.83487517458889	-46.83487517458889	0.0	11.0	11.0	0.0	-0.10514711803670448
1_16100001_16600000	1	16100001	16600000	16193127	16597623	-55.544057980541645	-55.544057980541645	0.0	25.0	25.0	0.0	-0.10514711803670448
1_16200001_16700000	1	16200001	16700000	16223184	16669174	-64.70543900228951	-64.70543900228951	0.0	78.0	78.0	0.0	-0.10514711803670448
1_16300001_16800000	1	16300001	16800000	16405155	16795674	-57.56676860448344	-57.56676860448344	0.0	93.0	93.0	0.0	-0.10514711803670448
1_16400001_16900000	1	16400001	16900000	16405155	16891215	-61.3066726227612	-61.3066726227612	0.0	99.0	99.0	0.0	-0.10514711803670448
1_16500001_17000000	1	16500001	17000000	16547037	16984822	-40.27451426600026	-40.27451426600026	0.0	103.0	103.0	0.0	-0.10514711803670448
1_16600001_17100000	1	16600001	17100000	16600312	17099655	-36.47736523612302	-36.47736523612302	0.0	95.0	95.0	0.0	-0.10514711803670448
1_16700001_17200000	1	16700001	17200000	16708496	17195311	-36.71574270027788	-36.71574270027788	0.0	52.0	52.0	0.0	-0.10514711803670448
1_16800001_17300000	1	16800001	17300000	16809587	17287891	-36.716198550994065	-36.716198550994065	0.0	47.0	47.0	0.0	-0.10514711803670448
1_16900001_17400000	1	16900001	17400000	16902654	17395650	-36.9593917360148	-36.9593917360148	0.0	57.0	57.0	0.0	-0.10514711803670448
1_17000001_17500000	1	17000001	17500000	17008635	17498012	-39.45403460323139	-39.45403460323139	0.0	66.0	66.0	0.0	-0.10514711803670448
1_17100001_17600000	1	17100001	17600000	17113930	17587061	-43.43293813192548	-43.43293813192548	0.0	76.0	76.0	0.0	-0.10514711803670448
1_17200001_17700000	1	17200001	17700000	17201230	17697902	-39.708308822290654	-39.708308822290654	0.0	73.0	73.0	0.0	-0.10514711803670448
1_17300001_17800000	1	17300001	17800000	17322095	17772357	-39.88930254609652	-39.88930254609652	0.0	80.0	80.0	0.0	-0.10514711803670448
1_17400001_17900000	1	17400001	17900000	17400904	17887723	-39.63161728056711	-39.63161728056711	0.0	81.0	81.0	0.0	-0.10514711803670448
1_17500001_18000000	1	17500001	18000000	17500197	17981253	-31.828046875093715	-31.828046875093715	0.0	73.0	73.0	0.0	-0.10514711803670448
1_17600001_18100000	1	17600001	18100000	17601477	18099390	-27.849045945892666	-27.849045945892666	0.0	66.0	66.0	0.0	-0.10514711803670448
1_17700001_18200000	1	17700001	18200000	17706014	18179411	-35.59353445490228	-35.59353445490228	0.0	75.0	75.0	0.0	-0.10514711803670448
1_17800001_18300000	1	17800001	18300000	17807634	18269969	-31.42835716987377	-31.42835716987377	0.0	72.0	72.0	0.0	-0.10514711803670448
1_17900001_18400000	1	17900001	18400000	17914812	18389588	-23.66848690119775	-23.66848690119775	0.0	59.0	59.0	0.0	-0.10514711803670448
1_18000001_18500000	1	18000001	18500000	18002331	18476912	-23.66891387796498	-23.66891387796498	0.0	55.0	55.0	0.0	-0.10514711803670448
1_18100001_18600000	1	18100001	18600000	18101053	18575793	-19.583903691896246	-19.583903691896246	0.0	54.0	54.0	0.0	-0.10514711803670448
1_18200001_18700000	1	18200001	18700000	18227619	18696652	-19.749303212966833	-19.749303212966833	0.0	63.0	63.0	0.0	-0.10514711803670448
1_18300001_18800000	1	18300001	18800000	18300457	18782768	-21.867556731490648	-21.867556731490648	0.0	50.0	50.0	0.0	-0.10514711803670448
1_18400001_18900000	1	18400001	18900000	18445167	18782768	-21.86757303232782	-21.86757303232782	0.0	46.0	46.0	0.0	-0.10514711803670448
1_18500001_19000000	1	18500001	19000000	18504387	18998148	-21.867100308049803	-21.867100308049803	0.0	52.0	52.0	0.0	-0.10514711803670448
1_18600001_19100000	1	18600001	19100000	18624126	19078071	-26.333363916764846	-26.333363916764846	0.0	49.0	49.0	0.0	-0.10514711803670448
1_18700001_19200000	1	18700001	19200000	18767393	19182180	-22.220025769536903	-22.220025769536903	0.0	36.0	36.0	0.0	-0.10514711803670448
1_18800001_19300000	1	18800001	19300000	18919921	19289282	-22.136113499497284	-22.136113499497284	0.0	40.0	40.0	0.0	-0.10514711803670448
1_18900001_19400000	1	18900001	19400000	18919921	19392612	-22.13602476408184	-22.13602476408184	0.0	62.0	62.0	0.0	-0.10514711803670448
1_19000001_19500000	1	19000001	19500000	19000001	19481448	-30.0454417622794	-30.0454417622794	0.0	67.0	67.0	0.0	-0.10514711803670448
1_19100001_19600000	1	19100001	19600000	19108772	19583786	-25.57909281981417	-25.57909281981417	0.0	71.0	71.0	0.0	-0.10514711803670448
1_19200001_19700000	1	19200001	19700000	19249975	19658021	-35.0558205360827	-35.0558205360827	0.0	68.0	68.0	0.0	-0.10514711803670448
1_19300001_19800000	1	19300001	19800000	19335158	19791009	-38.9833610075399	-38.9833610075399	0.0	70.0	70.0	0.0	-0.10514711803670448
1_19400001_19900000	1	19400001	19900000	19405222	19897870	-36.165533953614904	-36.165533953614904	0.0	63.0	63.0	0.0	-0.10514711803670448
1_19500001_20000000	1	19500001	20000000	19509431	19972361	-32.29139154679476	-32.29139154679476	0.0	54.0	54.0	0.0	-0.10514711803670448
